,source_file,unmutated_binary,binary_path,return_code,program_input,program_stdout,target,expected_stdout,expected_returncode,custom_returncodes,nopped_addr,mutation,source_code
15,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x1145,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4421,nop,
16,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x1157,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4439,nop,
17,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x1161,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4449,nop,
18,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x116a,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4458,nop,
19,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x1163,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4451,nop,
20,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x116d,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4461,nop,
21,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x1178,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4472,nop,
22,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x1171,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4465,nop,
23,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x116f,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4463,nop,
24,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x1179,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4473,nop,
25,/home/dblshot/ghPackages/FaultSim/test_files/password_check.c,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/password_check.o,/home/dblshot/ghPackages/FaultSim/experiments/para_nop_x86_64_password_check/mutated_bins/password_check.o_0x1187,97,"wrong
","Enter the password (max 10 characters): Wrong
",X86_64,Correct,0,"[('password_accepted', 0), ('password_denied', 97), ('failed_to_run', 1)]",4487,nop,
